Date,Customer_ID,Product_Category,Product_Name,Units_Sold,Unit_Price,Region,Sales_Rep,Revenue
2023-11-24,CUST1070,Stationery,Pen,17,495,North,Bob,8415
2023-02-27,CUST1021,Clothing,Pen,1,544,South,Alice,544
2023-01-13,CUST1033,Electronics,Laptop,16,1356,South,Alice,21696
2023-05-21,CUST1067,Stationery,T-Shirt,12,175,West,Charlie,2100
2023-05-06,CUST1077,Stationery,Phone,19,364,South,Ethan,6916
2023-04-25,CUST1054,Clothing,T-Shirt,14,554,South,Alice,7756
2023-03-13,CUST1027,Electronics,Table,6,1919,East,Bob,11514
2023-02-22,CUST1069,Electronics,Phone,6,817,North,Diana,4902
2023-12-13,CUST1096,Stationery,Pen,13,834,North,Alice,10842
2023-10-07,CUST1093,Furniture,Pen,19,1507,East,Alice,28633
2023-02-14,CUST1088,Stationery,Phone,8,1687,West,Charlie,13496
2023-10-30,CUST1025,Stationery,Pen,2,950,North,Ethan,1900
2023-08-05,CUST1091,Stationery,Notebook,1,1629,South,Diana,1629
2023-01-17,CUST1039,Stationery,Phone,15,1490,North,Bob,22350
2023-01-16,CUST1051,Clothing,T-Shirt,1,243,South,Diana,243
2023-02-17,CUST1085,Electronics,Phone,5,984,West,Bob,4920
2023-04-22,CUST1083,Clothing,Pen,16,1192,East,Ethan,19072
2023-04-30,CUST1047,Clothing,Notebook,19,1222,North,Bob,23218
2023-09-16,CUST1056,Clothing,Notebook,4,495,East,Charlie,1980
2023-11-05,CUST1066,Stationery,Table,3,1148,North,Charlie,3444
2023-01-14,CUST1057,Furniture,T-Shirt,17,1047,South,Charlie,17799
2023-10-15,CUST1015,Electronics,Chair,17,990,East,Charlie,16830
2023-04-12,CUST1031,Furniture,Chair,12,1592,North,Diana,19104
2023-11-29,CUST1028,Clothing,Phone,14,1607,South,Ethan,22498
2023-12-26,CUST1008,Clothing,Table,6,1688,East,Bob,10128
2023-10-07,CUST1043,Furniture,,3,1274,East,Bob,3822
2023-08-03,CUST1002,Furniture,,9,1267,North,Charlie,11403
2023-04-23,CUST1075,Furniture,Table,5,668,North,Charlie,3340
2023-08-18,CUST1070,Clothing,T-Shirt,17,1162,North,Alice,19754
2023-10-29,CUST1029,Clothing,T-Shirt,14,208,South,Ethan,2912
2023-05-23,CUST1075,Electronics,T-Shirt,3,1816,North,Diana,5448
2023-01-04,CUST1028,Electronics,T-Shirt,1,1165,East,Bob,1165
2023-03-23,CUST1000,Clothing,T-Shirt,1,1309,East,Alice,1309
2023-12-24,CUST1009,Furniture,Table,3,1034,North,Alice,3102
2023-08-05,CUST1090,Furniture,Table,18,497,North,Bob,8946
2023-06-24,CUST1080,Electronics,,10,1346,West,Diana,13460
2023-05-23,CUST1007,Clothing,Chair,3,733,East,Alice,2199
2023-03-21,CUST1029,Electronics,Pen,8,1256,South,Alice,10048
2023-04-21,CUST1008,Electronics,T-Shirt,14,1286,West,Ethan,18004
2023-06-22,CUST1004,Stationery,Laptop,18,1338,North,Diana,24084
2023-02-22,CUST1042,Stationery,Pen,15,832,North,Alice,12480
2023-02-17,CUST1009,Stationery,Table,2,334,East,Diana,668
2023-07-14,CUST1065,Furniture,,10,1966,North,Bob,19660
2023-02-19,CUST1030,Clothing,Laptop,2,757,South,Charlie,1514
2023-07-03,CUST1035,Clothing,Laptop,17,850,East,Alice,14450
2023-06-26,CUST1085,Clothing,Notebook,8,687,North,Ethan,5496
2023-11-06,CUST1062,Clothing,Table,1,1132,East,Bob,1132
2023-05-16,CUST1027,Stationery,Laptop,9,1197,North,Diana,10773
2023-01-23,CUST1069,Furniture,T-Shirt,11,1053,North,Bob,11583
2023-08-24,CUST1016,Furniture,Phone,16,591,North,Alice,9456
2023-10-02,CUST1092,Stationery,Laptop,7,1012,South,Diana,7084
2023-03-05,CUST1073,Furniture,Notebook,10,1376,South,Charlie,13760
2023-07-13,CUST1073,Stationery,Pen,3,1353,East,Bob,4059
2023-02-10,CUST1060,Clothing,Table,18,1642,North,Alice,29556
2023-10-10,CUST1031,Stationery,Notebook,13,1297,North,Ethan,16861
2023-05-31,CUST1100,Clothing,Laptop,7,1776,South,Diana,12432
2023-11-18,CUST1060,Clothing,Table,4,1291,North,Bob,5164
2023-11-13,CUST1052,Electronics,Phone,13,269,South,Bob,3497
2023-07-05,CUST1024,Stationery,Laptop,1,1516,North,Charlie,1516
2023-10-23,CUST1012,Electronics,Notebook,8,1045,East,Charlie,8360
2023-04-09,CUST1012,Stationery,Chair,14,894,North,Ethan,12516
2023-12-27,CUST1084,Stationery,T-Shirt,16,733,North,Ethan,11728
2023-02-05,CUST1055,Electronics,Pen,14,1317,West,Alice,18438
2023-01-24,CUST1045,Electronics,Notebook,12,1640,South,Alice,19680
2023-12-05,CUST1054,Stationery,Table,19,128,North,Ethan,2432
2023-04-27,CUST1052,Furniture,Laptop,15,1288,North,Ethan,19320
2023-05-29,CUST1059,Clothing,T-Shirt,2,1545,West,Diana,3090
2023-02-10,CUST1093,Electronics,Laptop,2,438,West,Charlie,876
2023-04-30,CUST1006,Clothing,Table,19,1771,South,Alice,33649
2023-02-21,CUST1086,Furniture,Laptop,17,1619,West,Charlie,27523
2023-07-14,CUST1083,Furniture,Chair,10,1488,East,Charlie,14880
2023-05-23,CUST1082,Furniture,T-Shirt,6,1956,West,Ethan,11736
2023-08-21,CUST1012,Electronics,T-Shirt,15,1465,East,Diana,21975
2023-11-22,CUST1007,Furniture,Table,11,599,South,Bob,6589
2023-07-06,CUST1051,Electronics,Pen,5,1780,South,Diana,8900
2023-03-25,CUST1093,Furniture,Chair,1,610,South,Diana,610
2023-07-09,CUST1043,Clothing,Notebook,8,1450,South,Charlie,11600
2023-07-01,CUST1013,Clothing,Laptop,12,316,South,Diana,3792
2023-04-18,CUST1031,Stationery,Phone,12,1424,East,Alice,17088
2023-12-10,CUST1024,Clothing,Laptop,5,1255,East,Charlie,6275
2023-05-17,CUST1024,Stationery,Laptop,7,1927,South,Alice,13489
2023-12-26,CUST1068,Clothing,Notebook,4,1193,West,Bob,4772
2023-12-16,CUST1057,Electronics,Laptop,6,1375,North,Charlie,8250
2023-11-28,CUST1017,Clothing,Chair,13,1538,South,Bob,19994
2023-02-06,CUST1054,Stationery,Chair,15,1910,West,Charlie,28650
2023-11-08,CUST1023,Stationery,T-Shirt,3,544,North,Ethan,1632
2023-11-22,CUST1035,Furniture,Table,8,975,South,Diana,7800
2023-03-29,CUST1059,Electronics,Pen,16,1305,South,Ethan,20880
2023-10-01,CUST1031,Clothing,Phone,13,266,East,Bob,3458
2023-05-06,CUST1009,Furniture,Laptop,18,190,North,Diana,3420
2023-03-25,CUST1056,Clothing,Laptop,10,813,North,Charlie,8130
2023-08-25,CUST1070,Clothing,Notebook,19,1981,West,Diana,37639
2023-07-14,CUST1012,Furniture,Table,17,1654,East,Alice,28118
2023-05-19,CUST1006,Furniture,Chair,19,138,East,Diana,2622
